Period 3 	 [73, 19, 33, 49, 105] 0.77 days. [3] R: 6
Period 3 	 [74, 19, 33, 12, 11] 0.75 days. [1] R: 0
Period 3 	 [32, 29, 33, 2] 0.99 days. [1] R: 0
Period 3 	 [33, 49, 55] 0.43 days. [1] R: 74
Period 3 	 [34, 37, 33, 2] 0.79 days. [4] R: 4
Period 3 	 [35, 37, 33, 2] 0.79 days. [20] R: 23
Period 3 	 [36, 37, 33, 2] 0.76 days. [18] R: 18
Period 3 	 [38, 37, 33, 2] 0.84 days. [20] R: 43
Period 3 	 [38, 37, 33, 2, 57] 0.85 days. [1] R: 43
Period 3 	 [38, 37, 33, 29, 30] 0.71 days. [15] R: 43
Period 3 	 [39, 37, 33, 2] 0.89 days. [5] R: 15
Period 3 	 [40, 37, 33, 2] 0.77 days. [2] R: 2
Period 3 	 [79, 37, 33, 2] 0.79 days. [1] R: 3
Period 3 	 [80, 37, 33, 2] 0.90 days. [2] R: 3
Period 3 	 [82, 37, 33, 2] 0.77 days. [1] R: 6
Period 3 	 [83, 37, 33, 2] 0.76 days. [11] R: 12
Period 3 	 [84, 37, 33, 2] 0.76 days. [3] R: 4
Period 3 	 [85, 37, 33, 2] 0.76 days. [1] R: 2
Period 3 	 [87, 37, 33, 29, 27] 0.63 days. [2] R: 14
Period 3 	 [87, 37, 33, 29, 31] 0.79 days. [1] R: 14
Period 3 	 [88, 37, 33, 2] 0.77 days. [1] R: 1
Period 3 	 [89, 37, 33, 12, 11] 0.72 days. [5] R: 6
Period 3 	 [96, 37, 33, 49, 103] 0.67 days. [5] R: 6
Period 3 	 [42, 49, 33, 6, 59] 0.95 days. [2] R: 0
Period 3 	 [42, 49, 33, 37, 86] 0.67 days. [1] R: 0
Period 3 	 [48, 49, 50] 0.28 days. [3] R: 1
Period 3 	 [52, 49, 33, 6, 60] 0.94 days. [3] R: 20
Period 3 	 [52, 49, 33, 19, 21] 0.87 days. [2] R: 20
Period 3 	 [52, 49] 0.11 days. [7] R: 20
Period 3 	 [52, 49, 98] 0.13 days. [3] R: 20
Period 3 	 [52, 49, 101] 0.11 days. [3] R: 20
Period 3 	 [54, 49, 33, 2] 0.98 days. [15] R: 17
Period 3 	 [97, 49, 33, 37, 92] 0.76 days. [2] R: 14
Period 3 	 [97, 49, 105] 0.12 days. [1] R: 14
Period 3 	 [99, 49] 0.11 days. [1] R: 5
Period 3 	 [100, 49, 33, 12, 14] 0.87 days. [1] R: 10
Period 3 	 [100, 49, 33] 0.48 days. [7] R: 10
Period 3 	 [100, 49, 33, 37, 41] 0.71 days. [1] R: 10
Period 3 	 [100, 49, 98] 0.12 days. [1] R: 10
	 Repartido Periodo 1: 339.000000
	 Repartido Periodo 2: 320.000000
	 Repartido Periodo 3: 352.000000
	 Repartido Periodo 4: 0.000000
Scenario 0
	 Demandas Periodo 1: 0.000000 [0]
	 Demandas Periodo 2: 0.000000 [0]
	 Demandas Periodo 3: 0.000000 [0]
	 Demandas Periodo 4: 0.000000 [0]
Scenario 1
	 Demandas Periodo 1: 93.000000 [0]
	 Demandas Periodo 2: 106.000000 [0]
	 Demandas Periodo 3: 110.000000 [0]
	 Demandas Periodo 4: 122.000000 [0]
Scenario 2
	 Demandas Periodo 1: 104.000000 [0]
	 Demandas Periodo 2: 100.000000 [0]
	 Demandas Periodo 3: 100.000000 [0]
	 Demandas Periodo 4: 117.000000 [0]
ObjVal: 2.666667 Time: 536.911593 GAP: 0.000000
